"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-01","1994-01-07",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","19 RN BIC.","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","1997-08-22",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","1997","","COMBI 3550","29","MERCEDES BENZ","93","SPRINTER 310 D / C3550","2","Público","Física","RAMOS MEJIA","BUENOS AIRES","Femenino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-29","2002-03-25",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2002","","AMBULANCIA","29","MERCEDES BENZ","AB","SPRINTER 312D/F3000","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2001-08-15",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","57","CORSA 4PTAS. WIND 1.6 MPFI","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","No identificado","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-12","2001-03-02",1158,"TRES DE FEBRERO Nº 3","Buenos Aires","Nacional","2001","","ambulancia","29","MERCEDES BENZ","AC","SPRINTER 312D/F3550","1","Privado","Física","VILLA BALLESTER","BUENOS AIRES","Masculino","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2010-06-10",1179,"SAN MARTIN Nº 5","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KF","PARTNER PRESENCE PLC 1.6 HDI","1","Privado","Física","VILLA LYNCH","BUENOS AIRES","Masculino","1999","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-30","2011-09-30",1196,"LA PLATA Nº 08","Buenos Aires","Nacional","2011","","UTILITARIO","08","CHEVROLET","CW","CLASSIC 3 PTAS CARGO + AA 1.4N","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","2014","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-31","1996-01-25",1199,"LANUS Nº 6","Buenos Aires","Nacional","1996","","FURGON LARGO","37","RENAULT","86","RENAULT TRAFIC","1","Privado","Física","LANUS OESTE","BUENOS AIRES","No identificado","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","1999-10-21",1200,"SAN MARTIN Nº 6","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 LTS","1","Privado","Física","JOSÉ LEÓN SUÁREZ","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-30","2009-06-30",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","2009","","FURGON VID C/ASIENTO","37","RENAULT","UL","KANGOO CONFORT 1.6 CD SVT 1PL","1","Privado","Física","PABLO NOGUES","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-16","1999-05-07",1209,"BERAZATEGUI Nº 3","Buenos Aires","Nacional","1999","","BERLINA 5 PTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","BERAZATEGUI","BUENOS AIRES","Femenino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","1999-10-20",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4P GL1.7 DIESEL A","1","Privado","Física","GONZÁLEZ CATÁN","BUENOS AIRES","No identificado","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","2001-03-27",1237,"LOMAS DE ZAMORA Nº 7","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","78","CORSA GL 1.6 MPFI 3P (AA+DP)","1","Privado","Física","INGENIERO BUDGE","BUENOS AIRES","No identificado","2000","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2000-05-29",1240,"JOSE C. PAZ Nº 1","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","JOSE C.PAZ","BUENOS AIRES","Masculino","1950","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-02","2004-11-18",1259,"SAN MARTIN Nº 8","Buenos Aires","Nacional","2004","","FURGON VIDRIADO C/AS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","SAN ANDRES","BUENOS AIRES","Masculino","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-31","2001-01-09",1259,"SAN MARTIN Nº 8","Buenos Aires","Nacional","2001","","RURAL 3 PTAS","34","PEUGEOT","05","PARPANDAA","1","Privado","Física","BILLINGHURST","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-23","1982-10-28",1261,"MARCOS PAZ","Buenos Aires","Nacional","1982","","FURGON TERM.C/EQUI-D","19","FORD","11","F-100","1","Privado","Física","MARCOS PAZ","BUENOS AIRES","Femenino","1972","BOLIVIA",100,"06","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-30","1996-01-17",1261,"MARCOS PAZ","Buenos Aires","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC. BIC","1","Privado","Física","MARCOS PAZ","BUENOS AIRES","No identificado","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2000-03-06",1264,"ADROGUE Nº 5","Buenos Aires","Nacional","2000","","RURAL 3 PUERTAS","07","CITROEN","06","BERLINGO DPL","1","Privado","Física","LONGCHAMPS","BUENOS AIRES","Masculino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2001-07-17",1287,"ITUZAINGO Nº 3","Buenos Aires","Nacional","2001","","RURAL 3 PTAS","34","PEUGEOT","05","PARPANDAA","1","Privado","Física","ITUZAINGO","BUENOS AIRES","No identificado","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2017-06-26",1300,"SAN MARTIN Nº 9","Buenos Aires","Protocolo 21","2017","","CAMION PLANCHA","047","FORD","086","F-4000 D","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","No identificado","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-19","1999-01-21",1305,"HURLINGHAM Nº 3","Buenos Aires","Nacional","1999","","BERLINA 5 PTAS.","37","RENAULT","CD","CLIO  DIESEL 5 PTAS DA AA","1","Privado","Física","VILLA TESEI","BUENOS AIRES","No identificado","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","1997-01-21",1311,"LA MATANZA Nº 14","Buenos Aires","Importado","1997","","FURGON VIDRIADO 12 A","","FIAT","","DUCATO 2.0D P.C.10","1","Privado","Física","ISIDRO CASANOVA- LA MATANZA","BUENOS AIRES","No identificado","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","2001-02-23",2024,"CAPITAL FEDERAL Nº 024","Ciudad Autónoma de Bs.As.","Nacional","2001","","SEDAN","08","CHEVROLET","78","CORSA GL 1.6 MPFI 3P (AA+DP)","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1972","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-31","1992-01-21",2043,"CAPITAL FEDERAL Nº 043","Ciudad Autónoma de Bs.As.","Importado","1992","","SEDAN","055","HONDA","477","ACCORD CB354NM/KBH8","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1993","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2008-01-14",2046,"CAPITAL FEDERAL Nº 046","Ciudad Autónoma de Bs.As.","Nacional","2008","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1992","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","1997-05-02",2060,"CAPITAL FEDERAL Nº 060","Ciudad Autónoma de Bs.As.","Nacional","1997","","FURGON 3550","29","MERCEDES BENZ","91","SPRINTER 310D/F3550 1997","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1975","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-08","1995-09-21",2092,"CAPITAL FEDERAL Nº 092","Ciudad Autónoma de Bs.As.","Nacional","1995","","CHASIS C/CABINA P/CAMION","29","MERCEDES BENZ","50","L 1215/48","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2009","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","2000-10-13",4035,"CORDOBA Nº 05","Córdoba","Nacional","2000","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1958","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","1999-08-25",4086,"CORDOBA Nº 25","Córdoba","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND. 1.6 LTS","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1967","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","2000-10-31",13012,"MENDOZA Nº 06","Mendoza","Nacional","2000","","SEDAN 3 PUERTAS","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","VILLA HIPODROMO","MENDOZA","Femenino","1961","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-26","2001-03-23",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS.GLS 1.7 D","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-05","2002-05-20",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","2002","","FURGON VIDRIADO C/ ASIENTOS","34","PEUGEOT","01","PARFUN6","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Femenino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-12","2007-05-02",1062,"MERLO Nº 1","Buenos Aires","Protocolo 21","2007","","PICK-UP CABINA DOBLE","102","NISSAN","461","FRONTIER 4X4SE 2.8TDI ELECTRONIC","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-17","1994-08-24",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","I.CASANOVA-LA MATANZA","BUENOS AIRES","No identificado","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2007-01-08",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-17","2010-08-09",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2010","","FURG.VIDRIADO C/ASIE","37","RENAULT","UT","KANGOO GRAND CONFORT 1.5 DCI 2P","1","Privado","Física","VILLA MADERO MATANZA","BUENOS AIRES","No identificado","1983","BOLIVIA",100,"06","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-19","1995-03-09",1123,"SAN MARTIN Nº 3","Buenos Aires","Nacional","1995","","BERLINA 5 PUERTAS","37","RENAULT","AH","RENAULT 19 RN INYEC.-BIC-","1","Privado","Física","J.L.SUAREZ","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2007-12-06",1133,"SAN MIGUEL Nº 3","Buenos Aires","Protocolo 21","2007","","PICK-UP CABINA Y MED","044","FIAT","816","STRADA ADVENTURE 1.7 TD","1","Privado","Jurídica","BELLA VISTA-SAN MIGUEL","BUENOS AIRES","No aplica","2012","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-05","1999-10-27",1140,"SAN ISIDRO Nº 04","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","56","CORSA WAGON GLS 1.6 V","1","Privado","Física","SAN ISIDRO","BUENOS AIRES","Femenino","1951","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-26","1994-08-03",1141,"TIGRE Nº 2","Buenos Aires","Nacional","1994","","FUR VIDRIADO C/ASIEN","37","RENAULT","86","RENAULT TRAFIC","1","Privado","Física","TIGRE","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-08","2013-06-27",1149,"LA PLATA Nº 06","Buenos Aires","Protocolo 21","2013","02","SEDAN 4 PUERTAS","112","RENAULT","928","LOGAN 1.6 8V PACK I C/ABCP+ABS","1","Privado","Física","LA PLATA","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2012-02-28",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","2012","12","SEDAN 4 PTAS","08","CHEVROLET","DC","CLASSIC 4 PTAS LS AA+DIR 1.4N","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1999","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","1997-10-31",1149,"LA PLATA Nº 06","Buenos Aires","Protocolo 21","1997","22","SEDAN 3 PTAS","136","VOLKSWAGEN","212","GOL GL 1.6D","1","Privado","Física","ETCHEVERRY","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","1999-07-28",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","1999","11","SEDAN 2 PTAS","17","FIAT","46","UNO S 1.7 D. (3P.)","1","Privado","Física","LOS HORNOS","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-17","2012-06-25",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","2012","12","SEDAN 4 PTAS","08","CHEVROLET","DK","CLASSIC 4 PTAS LT SPIRIT 1.4N","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1952","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-22","1996-09-04",1149,"LA PLATA Nº 06","Buenos Aires","Importado","1996","22","SEDAN 3 PTAS","047","FORD","001","FIESTA CL","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-26","2011-03-14",1149,"LA PLATA Nº 06","Buenos Aires","Nacional","2011","17","SEDAN 5 PTAS","34","PEUGEOT","JK","207 COMPACT XS 1.4 5P","1","Privado","Física","LOS HORNOS","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-01","2010-03-23",1150,"AVELLANEDA Nº 3","Buenos Aires","Importado","2010","02","SEDAN 4 PTAS","136","VOLKSWAGEN","282","BORA TDI","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","2013-07-18",1150,"AVELLANEDA Nº 3","Buenos Aires","Importado","2013","05","SEDAN 5 PUERTAS","092","MERCEDES BENZ","A69","A200 BLUE EFFICIENCY","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Femenino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2019-05-13",1150,"AVELLANEDA Nº 3","Buenos Aires","Protocolo 21","2019","05","SEDAN 5 PUERTAS","024","CHEVROLET","617","ONIX 1.4 N LTZ","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-26","2006-08-22",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","2006","12","SEDAN 4 PUERTAS","08","CHEVROLET","BD","CORSA CLASSIC 4P SUPER 1.6N","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-29","1987-12-28",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","1987","12","SEDAN 4 PTAS","34","PEUGEOT","03","504 SR  TC","1","Privado","Física","GERLI","BUENOS AIRES","No identificado","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","2011-08-17",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","2011","20","PICK-UP","68","TOYOTA","38","HILUX 4X2 CABINA DOBLE SR C/AB 3.0 TDI","1","Privado","Física","DOCK SUD","BUENOS AIRES","Femenino","1986","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-08","2002-08-13",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","2002","12","SEDAN 4 PTAS","08","CHEVROLET","AF","CORSA CLASSIC 4P FULL 1.6N","1","Privado","Física","DOCK SUD","BUENOS AIRES","Femenino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-12","2011-12-01",1151,"AVELLANEDA Nº 4","Buenos Aires","Protocolo 21","2011","02","SEDAN 4 PTAS","024","CHEVROLET","556","PRISMA 1.4 LS","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-18","2019-02-19",1151,"AVELLANEDA Nº 4","Buenos Aires","Protocolo 21","2019","02","SEDAN 4 PUERTAS","024","CHEVROLET","705","PRISMA JOY 4P 1.4 N LS MT","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-18","1995-08-24",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","1995","12","SEDAN 4 PUERTAS","37","RENAULT","AB","RENAULT 9 RL","1","Privado","Física","GERLI","BUENOS AIRES","Femenino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-19","2007-06-25",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","2007","17","SEDAN 5 PTAS","34","PEUGEOT","FS","206 X-LINE 1.4 5P","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Femenino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-25","2015-07-27",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","2015","17","SEDAN 5 PUERTAS","80","HONDA","11","HR-V EXL CVT","1","Privado","Física","GERLI","BUENOS AIRES","No identificado","1957","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-26","1997-07-18",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","1997","17","SEDAN 5 PTAS","19","FORD","62","ESCORT LX 1.8","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-30","2006-01-20",1151,"AVELLANEDA Nº 4","Buenos Aires","Protocolo 21","2006","05","SEDAN 5 PUERTAS","047","FORD","635","FIESTA 1.6L AMBIENTE PLUS","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-02","2013-08-30",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2013","12","SEDAN 4 PUERTAS","17","FIAT","AZ","SIENA (F4) EL 1.4 8V","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","2016-09-27",1152,"LA MATANZA Nº 04","Buenos Aires","Protocolo 21","2016","02","SEDAN 4 PUERTAS","112","RENAULT","985","NUEVO LOGAN EXPRESSION 1.6","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-03","2009-09-07",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2009","18","SEDAN 3 PUERTAS","34","PEUGEOT","JG","207 COMPACT XT PREMIUM 1.6 3P","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-04","2012-03-30",1152,"LA MATANZA Nº 04","Buenos Aires","Protocolo 21","2012","22","SEDAN 3 PTAS","136","VOLKSWAGEN","463","GOL 1.4 L","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","Femenino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2008-11-10",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2008","17","SEDAN 5 PUERTAS","53","VOLKSWAGEN","LX","SURAN 90B","1","Privado","Física","GONZÁLEZ CATÁN","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-09","2008-05-05",1152,"LA MATANZA Nº 04","Buenos Aires","Protocolo 21","2008","02","SEDAN 4 PTAS","044","FIAT","646","SIENA ELX 1.4 8V","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2011-08-16",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2011","17","SEDAN 5 PTAS","34","PEUGEOT","JW","206 GENERATION","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-10","2011-01-28",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2011","17","SEDAN 5 PTAS","34","PEUGEOT","JK","207 COMPACT XS 1.4 5P","1","Privado","Física","VILLA MADERO","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","2017-06-23",1152,"LA MATANZA Nº 04","Buenos Aires","Protocolo 21","2017","05","SEDAN 5 PUERTAS","047","FORD","A36","FIESTA 1.6L SE","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-11","2017-01-06",1152,"LA MATANZA Nº 04","Buenos Aires","Protocolo 21","2017","05","SEDAN 5 PUERTAS","130","TOYOTA","912","ETIOS XLS 1.5 6M/T","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Femenino","1981","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-12","2018-12-05",1152,"LA MATANZA Nº 04","Buenos Aires","Protocolo 21","2018","05","SEDAN 5 PUERTAS","024","CHEVROLET","701","ONIX JOY 5P 1.4 N LS MT +","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","Femenino","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-12","2011-09-07",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2011","12","SEDAN 4 PTAS","08","CHEVROLET","DD","CLASSIC 4 PTAS LT 1.4N","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-03-15","2017-05-22",1152,"LA MATANZA Nº 04","Buenos Aires","Protocolo 21","2017","05","SEDAN 5 PUERTAS","044","FIAT","848","MOBI 1.0 8V WAY","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
