,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
77,8465654505,2020-01-23,Trata,"Explotación sexual, pornografía infantil",Victima directa,Argentina,Buenos Aires,La Lonja Pilar Centro,Mujer,No especifica,No,No,6.0
79,8465654505,2020-01-23,Trata,"Explotación sexual, pornografía infantil",Victima directa,Argentina,Buenos Aires,Pilar Centro,Hombre,No especifica,No,No,6.0
80,565654505,2020-01-23,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Bahía Blanca,Hombre,No especifica,No,No,6.0
81,7565654505,2020-01-24,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
89,5584754505,2020-01-26,Trata,Posible captación,Victima directa,Argentina,Córdoba,Córdoba,Mujer,No especifica,No,No,14.0
94,5505754505,2020-01-29,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,No especifica,No,No,6.0
97,515754505,2020-01-29,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,No especifica,No,No,6.0
98,2515754505,2020-01-30,Trata,Persona desaparecida,Victima directa,Paraguay,Buenos Aires,Barracas,Mujer,No especifica,No,No,6.0
100,6515754505,2020-01-30,Trata,Explotación sexual,Victima directa,Argentina,Corrientes,Esquina,Mujer,No especifica,No,No,18.0
103,525754505,2020-01-31,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,No especifica,Mujer,No especifica,No,No,6.0
112,4525754505,2020-02-01,Trata,Posible captación,Acusado,Argentina,Mendoza,GUAYAMALLÉN,Hombre,No especifica,No,No,50.0
120,3545754505,2020-02-02,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,Cañuelas,Hombre,No especifica,No,No,6.0
132,3565754505,2020-02-05,Trata,Abuso sexual infantil,Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
136,7575754505,2020-02-07,Trata,Pornografía infantil,Acusado,Argentina,Neuquén,Neuquén,Hombre,No especifica,No,No,58.0
137,9484845505,2020-02-07,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,La Plata,Mujer,No especifica,No,No,6.0
138,1584845505,2020-02-07,Trata,Abuso sexual infantil,Acusado,Argentina,Santa Fe,Santo Tomé,Hombre,No especifica,No,No,82.0
139,1584845505,2020-02-07,Trata,Abuso sexual infantil,Acusado,Argentina,Santa Fe,Santo Tomé,Hombre,No especifica,No,No,82.0
140,1584845505,2020-02-07,Trata,Abuso sexual infantil,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
145,4594845505,2020-02-09,Trata,Explotación sexual,Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,59.0,No,No,82.0
146,4594845505,2020-02-09,Trata,Explotación sexual,Acusado,Argentina,Santa Fe,Santa Fe,Hombre,No especifica,No,No,82.0
